Generation 0
Status of Players in generation 0
Player 1 : base = 50, basefac = 0, memfac = 100, distfac = 0, repfac = 0, rep = 50, x = 640, y = 937
Player 2 : base = 100, basefac = 100, memfac = 0, distfac = 0, repfac = 0, rep = 50, x = 773, y = 355
Player 3 : base = 0, basefac = 100, memfac = 0, distfac = 0, repfac = 0, rep = 50, x = 4, y = 819
Player 4 : base = 65, basefac = 53, memfac = 65, distfac = 50, repfac = 14, rep = 50, x = 103, y = 956
Generation 19
Status of Players in generation 19
Player 1 : base = 94, basefac = 1, memfac = 68, distfac = 1, repfac = 38, rep = 50, x = 31, y = 838
Player 2 : base = 100, basefac = 1, memfac = 60, distfac = 7, repfac = 19, rep = 50, x = 53, y = 811
Player 3 : base = 100, basefac = 1, memfac = 76, distfac = 13, repfac = 19, rep = 50, x = 56, y = 806
Generation 49
Status of Players in generation 49
Player 1 : base = 95, basefac = 1, memfac = 36, distfac = 1, repfac = 81, rep = 50, x = 137, y = 796
Player 2 : base = 95, basefac = 1, memfac = 36, distfac = 13, repfac = 100, rep = 50, x = 149, y = 799
Player 3 : base = 100, basefac = 1, memfac = 28, distfac = 13, repfac = 75, rep = 50, x = 150, y = 788
Generation 79
Status of Players in generation 79
Player 1 : base = 95, basefac = 1, memfac = 36, distfac = 1, repfac = 81, rep = 50, x = 287, y = 706
Player 2 : base = 95, basefac = 1, memfac = 36, distfac = 13, repfac = 100, rep = 50, x = 299, y = 709
Player 3 : base = 100, basefac = 1, memfac = 28, distfac = 13, repfac = 75, rep = 50, x = 300, y = 698
Generation 99
Status of Players in generation 99
Player 1 : base = 95, basefac = 1, memfac = 36, distfac = 1, repfac = 81, rep = 50, x = 387, y = 646
Player 2 : base = 95, basefac = 1, memfac = 36, distfac = 13, repfac = 100, rep = 50, x = 399, y = 649
Player 3 : base = 100, basefac = 1, memfac = 28, distfac = 13, repfac = 75, rep = 50, x = 400, y = 638
