,Total,Player 1,Player 2,Player 3,Player 4,
Total,(    0:    0:    0),(    0:    0:    0),(    0:    0:    0),(    0:    0:    0),(    0:    0:    0),
Player1,(    0:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),
Player2,(    0:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),
Player3,(    0:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),
Player4,(    0:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),(    1:    0:    0),

Played 30 rounds.
,Total,Player 1,Player 2,Player 3,Player 4,
Total,(   30:    0:    0),(   37:    1:   39),(   90:    4:  130),(    0:   -1:  -33),(   27:    1:   18),
Player1,(   35:    1:   33),(    1:    0:    0),(    1:    1:   30),(    0:    0:   -1),(    0:    0:    4),
Player2,(   50:    1:   10),(    1:    1:   30),(    1:    0:    0),(    0:   -1:  -30),(    1:    1:   10),
Player3,(   33:    2:   66),(    0:    0:    2),(    1:    2:   60),(    1:    0:    0),(    0:    0:    4),
Player4,(   36:    1:   45),(    0:    0:    7),(    1:    1:   40),(    0:    0:   -2),(    1:    0:    0),

Played 20 rounds.
,Total,Player 1,Player 2,Player 3,Player 4,
Total,(   50:    0:    0),(   65:    3:   67),(  150:    4:  217),(    0:   -2:  -54),(   49:    2:   34),
Player1,(   63:    0:   61),(    1:    0:    0),(    1:    1:   50),(    0:    0:   -1),(    0:   -1:   12),
Player2,(   83:    1:   16),(    1:    1:   50),(    1:    0:    0),(    0:   -1:  -50),(    1:    1:   16),
Player3,(   54:    4:  108),(    0:    0:    2),(    1:    2:  100),(    1:    0:    0),(    1:    2:    6),
Player4,(   64:    2:   79),(    1:    2:   15),(    1:    1:   67),(    0:   -1:   -3),(    1:    0:    0),

Played 5 rounds.
,Total,Player 1,Player 2,Player 3,Player 4,
Total,(   55:    0:    0),(   72:    0:   73),(  165:    4:  239),(    0:   -2:  -60),(   56:    5:   41),
Player1,(   71:    3:   70),(    1:    0:    0),(    1:    1:   55),(    0:    0:   -1),(    1:    2:   16),
Player2,(   91:    1:   17),(    1:    1:   55),(    1:    0:    0),(    0:   -1:  -55),(    1:    1:   17),
Player3,(   60:    4:  120),(    0:    0:    2),(    1:    2:  110),(    1:    0:    0),(    1:    2:    8),
Player4,(   71:   -1:   86),(    0:   -1:   16),(    1:    1:   74),(    0:   -1:   -4),(    1:    0:    0),

Played 16 rounds.
,Total,Player 1,Player 2,Player 3,Player 4,
Total,(   71:    0:    0),(   94:    1:   96),(  213:    5:  309),(    0:   -1:  -77),(   72:   -1:   51),
Player1,(   92:    1:   90),(    1:    0:    0),(    1:    1:   71),(    0:    0:   -1),(    0:    0:   20),
Player2,(  117:   -1:   21),(    1:    1:   71),(    1:    0:    0),(    0:   -1:  -71),(    0:   -1:   21),
Player3,(   77:    2:  154),(    0:    0:    2),(    1:    2:  142),(    1:    0:    0),(    0:    0:   10),
Player4,(   93:    2:  114),(    0:    0:   23),(    1:    2:   96),(    0:    0:   -5),(    1:    0:    0),

Played 30 rounds.
,Total,Player 1,Player 2,Player 3,Player 4,
Total,(  101:    0:    0),(  126:    1:  128),(  303:    5:  441),(    0:   -1: -109),(   94:   -1:   63),
Player1,(  124:    1:  122),(    1:    0:    0),(    1:    1:  101),(    0:    0:   -1),(    0:    0:   22),
Player2,(  165:   -1:   27),(    1:    1:  101),(    1:    0:    0),(    0:   -1: -101),(    0:   -1:   27),
Player3,(  109:    2:  218),(    0:    0:    2),(    1:    2:  202),(    1:    0:    0),(    0:    0:   14),
Player4,(  125:    2:  156),(    0:    0:   25),(    1:    2:  138),(    0:    0:   -7),(    1:    0:    0),
